Title,Authors,Journal/Conference,Year,Citations
Factors associated with seasonal affective disorders in Lebanese adults,"E Hobeika, C Haddad, M Akel, S Obeid, P Salameh, S Hallit","Perspectives in Psychiatric Care 58 (4), 1310-1323",2022,4
Management of epilepsy in Lebanon: Medication reviews and drug‐related problems,"L Mroueh, A Al‐Hajje, P Salameh, P Preux, F Boumediene, ...","Pharmacoepidemiology and Drug Safety 31 (5), 583-591",2022,4
Factors associated with the onset of smoking and alcohol consumption: a cross-sectional study among Lebanese adolescents in schools,"S Obeid, S Hallit, H Sacre, P Salameh","Archives de Pédiatrie 29 (3), 194-199",2022,4
Challenges and perspective of cancer patients during the COVID-19 pandemic and the Lebanese financial crisis: a multicentric cross-sectional study,"R Nawfal, J Kassem, H Salame, A Kassem, P Salameh, BF Matar","ecancermedicalscience 16, 1359",2022,4
Antibiotic discovery and resistance: the chase and the race. Antibiotics 2022; 11: 182,"K Iskandar, J Murugaiyan, HD Halat, SE Hage, V Chibabhai, ...",s Note: MDPI stays neutral with regard to jurisdictional claims in published …,2022,4
Psychometric evaluation of the adherence to refills and medications scale (arms) among adults patients with chronic disease: the Lebanese version,"M Ismail, M El Nayal, P Salameh, S Domiati","BAU Journal-Society, Culture and Human Behavior 3 (2), 5",2022,4
Timing and types of fluids and foods first introduced in a representative sample of toddlers attending day care programs across Lebanon: Are parents following international …,"C Issa, M Hobeika, W Khairallah, A Al-Jawaldeh, M Batal","Journal of Pediatric Nursing 62, e45-e53",2022,4
Fit Alteration of Presintered Co‐Cr and Zirconia Multiple‐Unit Prostheses After Ceramic Layering,"EE Daou, NZ Baba","Journal of Prosthodontics 30 (9), 789-794",2021,4
Assessment of the incidence and risk factors of early poststroke seizures in Lebanese patients,"S Mansour, M Youness, S Cherri, P Salameh, S Hallit, D Malaeb, ...","Brain and Behavior 11 (11), e02204",2021,4
The Preschool Asthma Risk Factors Scale: a predictive tool for asthma and respiratory symptoms among preschool children in Lebanon,"H Souheil, R Clara, S Hala, W Mirna, S Pascale","Allergologia et Immunopathologia 49 (4), 38-46",2021,4
A population-based study of self-reported adverse drug events among Lebanese outpatients,"E Ramia, RM Zeenny, S Hallit, P Salameh","Scientific Reports 11 (1), 7921",2021,4
Hygiene hypothesis: association between hygiene and asthma among preschool children in Lebanon,"S Hallit, H Sacre, N Kheir, E Hobeika, R Hallit, M Waked, P Salameh","Allergologia et Immunopathologia 49 (1), 135-145",2021,4
Availability of safety measures and knowledge towards hazardous waste management among workers in scientific laboratories of two universities in Lebanon,"IM Nasrallah, PR SALAMEH, AR EL-OUTA, AK ELKAK, RR NASR, ...",Proceedings of the 4th International Conference on Research in Social …,2021,4
"Health Behaviors, Life Skills, Mental Health, and Demographic Factors Associated with Mental Health among University Students in a Developing Country.","D Maddah, T Kabakian, R Zeidan, N Elsaady, N Alami, P Salameh",,2020,4
Factors associated with work impairment and productivity among Lebanese community pharmacists,"R Farah, D Malaeb, H Sacre, M Akel, S Hallit, P Salameh","International Journal of Clinical Pharmacy 42 (4), 1097-1108",2020,4
Acute ischemic stroke management in Lebanon: obstacles and solutions,"R Abdo, H Hosseini, P Salameh, H Abboud","Functional Neurology 34 (3), 167-176",2019,4
Management of patients with metastatic colorectal cancer in Lebanese hospitals and associated direct cost: a multicentre cohort study,"AM Henaine, G Chahine, M Massoud, P Salameh, S Awada, N Lahoud, ...",Eastern Mediterranean Health Journal 25 (7),2019,4
"Prevalence, Correlates and Management of Hyperglycemia in Diabetic Non-critically Ill Patients at a Tertiary Care Center in Lebanon","G El Khoury, H Mansour, WK Kabbara, N Chamoun, N Atallah, P Salameh","Current Diabetes Reviews 15 (2), 133-140",2019,4
Assessment of vancomycin utilization among Lebanese hospitals,"DN Malaeb, IM Fahs, P Salameh, S Hallit, M Saad, J Bourji, R Hallit","Saudi Medical Journal 40 (2), 152",2019,4
Mandatory continuing education for pharmacists in a developing country: assessment of a three-year cycle. Pharm Pract (Granada). 2019; 17 (3): 1545,"H Sacre, S Tawil, S Hallit, G Sili, P Salameh",PharmPract,2019,4
Predictors of past quit attempts and length of abstinence among Waterpipe smokers in Lebanon,"N Layoun, S Hallit, M Waked, ZA Bacha, A Leveque, M Dramaix, ...","Journal of Clinical & Diagnostic Research 12 (10), LC04-LC08",2018,4
Stroke in the Arab World: A bibliometric analysis of research activity (2002–2016). eNeurologicalSci 13: 40–45,"HA Salhab, P Salameh, H Hajj, H Hosseini",,2018,4
Prevalence of occupational exposure to asbestos and crystalline silica according to phenotypes of lung cancer from the CaProMat study: A case‐only study,"M El Zoghbi, P Salameh, I Stücker, C Paris, JC Pairon, A Gislard, ...","American Journal of Industrial Medicine 61 (1), 85-99",2018,4
Evaluation of self-medication use of antibiotics within Lebanese population: A prospective pilot study,"M Khalifeh, N Moore, P Salameh","Am J Pharmacol Sci 5, 31-39",2017,4
Validation of a patient-pharmacist relationship measurement tool in Lebanon,"EB Raad, S Hallit, K Iskandar, R Zeenny, P Salameh","Research Reviews: Pharmacy & Pharmaceutical Sciences 6 (2), 1-10",2017,4
Incorporating an Innovative Health Promoting Model Into Lebanese Public Schools: Impact on Adolescents' Dietary and Physical Activity Practices--Comparison of HPS With Other …,"S El Halabi Ezzeddine, P Salameh",Global Journal of Health Education & Promotion 17 (3),2016,4
PP. 30.42: DEVELOPMENT OF A SCORING SYSTEM TO MEASURE DRUG COMPLIANCE AMONG PATIENTS WITH CHRONIC DISEASES IN LEBANON,"S Abou Assi, Y Slaybi, P Salameh, N Saleh","Journal of Hypertension 33, e281",2015,4
Consommation de substances psychoactives des étudiants universitaires libanais: prévalence et facteurs associés,"P Salameh, S Rachidi, A Al-Hajje, S Awada, K Chouaib, N Saleh, ...",EMHJ 21 (5),2015,4
Choix du meilleur panel de prick-tests pour explorer une rhinite ou un asthme au Liban: une étude rétrospective sur 2350 patients,"T Bazarbachi, Y Haddad, C Irani, P Salameh, D Khoury, G Khayat, Z Aoun, ...","Revue des maladies respiratoires 31 (9), 839-848",2014,4
Choosing the best panel of aeroallergen prick-tests for patients in Lebanon with rhinitis and asthma: A retrospective study of 2350 patients,"T Bazarbachi, Y Haddad, C Irani, P Salameh, D Khoury, G Khayat, Z Aoun, ...","Revue des Maladies Respiratoires 31 (9), 839-848",2014,4
Continuing education of nurses in Lebanon: Evaluation and unmet needs,"PR Salameh, B Barbour","Journal of Adult and Continuing Education 12 (2), 182-194",2006,4
La pharmacie clinique au Liban: une étude pilote concernant l’opinion du personnel hospitalier,"P Salameh, N Bou Chahine, R Bou Antoun","Journal Médical Libanais 54 (1), 2-8",2006,4
Work fatigue among Lebanese community pharmacists: prevalence and correlates. Pharm Pract. 2020; 18 (2): 1844,"D Rahme, N Lahoud, H Sacre, M Akel, S Hallit, P Salameh",,1844,4
"Correlates of emotional intelligence among Lebanese adults: the role of depression, anxiety, suicidal ideation, alcohol use disorder, alexithymia and work fatigue. BMC psychol …","S Obeid, C Haddad, K Fares, D Malaeb, H Sacre, M Akel, P Salameh, ...",,,4
Factors associated with alexithymia among the Lebanese population: results of a cross-sectional study. BMC Psychol. 2019; 7 (1): 80,"S Obeid, M Akel, C Haddad, K Fares, H Sacre, P Salameh",,,4
Community pharmacy in Lebanon: A societal perspective. Pharm Pract (Granada). 2017; 15 (2): 893,"K Iskandar, S Hallit, EB Raad, F Droubi, N Layoun, P Salameh",,,4
Saliva cotinine and exhaled carbon monoxide in real life waterpipe smokers: a post hoc analysis. Tobacco Use Insights. 2009; 2: 1–10,"P Salameh, Z Aoun Bacha, M Waked",,,4
Mental health during COVID-19: an evaluation of academic universities’ contribution to existing research,"S Tawil, S Haque, P Salameh","Journal of Multidisciplinary Healthcare, 2053-2068",2024,3
Cause-specific excess mortality during the COVID-19 pandemic (2020–2021) in 12 countries of the C-MOR Consortium,"VV Beeks, S Achilleos, A Quattrocchi, CT Pallari, E Critselis, P Salameh, ...","Journal of Epidemiology and Global Health 14 (2), 337-348",2024,3
Moderating effect of work fatigue on the association between resilience and posttraumatic stress symptoms: a cross-sectional multi-country study among pharmacists during the …,"S Younes, S Hallit, I Mohammed, S El Khatib, A Brytek-Matera, SC Eze, ...","BioPsychoSocial Medicine 18 (1), 4",2024,3
Urticaria Control Test real‐world performance: A post‐hoc analysis.,"P Salameh, A Gutsche, F Aulenbacher, T Buttgereit, K Weller, ...",Allergy 79 (1),2024,3
Knowledge and Awareness of Stroke among the Elderly Population: Analysis of Data from a Sample of Older Adults in a Developing Country,"F Sakr, J Safwan, M Cherfane, P Salameh, H Sacre, C Haddad, ...","Medicina 59 (12), 2172",2023,3
Academic pharmacist competencies in ordinary and emergency situations: content validation and pilot description in Lebanese academia,"J Safwan, M Akel, H Sacre, C Haddad, F Sakr, A Hajj, RM Zeenny, ...","BMC Medical Education 23 (1), 737",2023,3
Dermatological manifestations associated with COVID‐19 and COVID‐19 vaccination: results from the Lebanese COVID registry,"R Chrabieh, I Haddad, P Salameh, M Kurban, E Kechichian, M Habre, ...","International Journal of Dermatology 62 (10), 1248-1256",2023,3
Early predictors of remission in children and adolescents with new-onset epilepsy: A prospective study,"D Ayoub, A Al-Hajje, P Salameh, J Jost, G Hmaimess, W Nasreddine, ...","Seizure: European Journal of Epilepsy 110, 69-77",2023,3
"Tablet vs. Book learning: Association with memory, attention, and learning abilities among lebanese children","J Tawil, C Haddad, Y Farchakh, H Sacre, R Nabout, S Obeid, P Salameh, ...","Vulnerable Children and Youth Studies 18 (3), 393-405",2023,3
Osteoporosis and vitamin D consumption: knowledge and practice in different Arab countries,"A Saleh, F Shibli, J El Masri, H Mouslem, M Odeh, H Fawaz, ...","Archives of Osteoporosis 18 (1), 85",2023,3
"Specialized competency framework for pharmacists in managerial positions in sales and marketing (SCF-PMSM): development, validation, and correlates","H Sacre, R Aoun, C Haddad, C Abou Selwan, RM Zeenny, M Akel, A Hajj, ...","Journal of Pharmaceutical Policy and Practice 16 (1), 64",2023,3
"Lebanese Population Knowledge, attitudes, and practice regarding Cholera Disease and their knowledge and attitude regarding the Cholera Vaccine following an outbreak in Lebanon","Y Jamaleddine, H Tashjian, M Mahmoud, W Azzam, A Daher, P Salameh",,2023,3
Psychometric Properties of an Arabic version of the Alcohol Use Disorder Identification Test (AUDIT) scale among Lebanese Adults,"R Azzi, P Salameh, H Sacre, S Obeid, S Hallit","J Drug Alcohol Res 12 (236273), 10.4303",2023,3
Mask‐Acne Prevalence and Risk Factors during the COVID‐19 Pandemic: A Cross‐Sectional Single Institution Study,"A Berjawi, P Salameh, N Fadel, JR El Khoury","Dermatologic Therapy 2023 (1), 9470636",2023,3
Towards a national pharmaceutical strategy in Lebanon: E nsuring access to quality and safe medications for all,"H Sacre, R Hamra, C Hassoun, MLA Hanna, M Ghossoub, J Jaber, A Hajj, ...",International Pharmaceutical Federation,2023,3
Assessing self-reported core competencies of public health practitioners in Lebanon using the WHO-ASPHER validated scale: a pilot study,"K Iskandar, C Haddad, A Hajj, H Sacre, RM Zeenny, M Akel, P Salameh","BMC Medical Education 22 (1), 882",2022,3
Association between dietary quality indices and serum polychlorinated biphenyls and organochlorine pesticides levels among Lebanese adults,"M Harmouche-Karaki, M Mahfouz, K Helou, J Obeyd, P Salameh, J Matta, ...","Environmental Science and Pollution Research, 1-12",2022,3
"The current trends and challenges towards good community pharmacy practice and the way forward. Exploratory Research in Clinical and Social Pharmacy, 6, 100152","AW Bou-Saba, KM Kassak, PR Salameh",,2022,3
Effects of sociodemographic and socioeconomic factors on stroke development in Lebanese patients with atrial fibrillation: a cross-sectional study,"D Malaeb, S Hallit, N Dia, S Cherri, I Maatouk, G Nawas, P Salameh, ...","F1000Research 10, 793",2021,3
Evaluation of hypertension treatment in acute ischemic stroke,"L Haidar, H AlHarfany, SG Cherri, D Malaeb, N Dia, P Salameh, ...","Clinical Epidemiology and Global Health 11, 100776",2021,3
Effect of soft skills and emotional intelligence of health-care professionals on burnout: A Lebanese cross-sectional study/Effekte von Soft skills und emotionaler Intelligenz …,"MS Semaan, JPA Bassil, P Salameh","International Journal of Health Professions 8 (1), 112-124",2021,3
Factors Related to Pregnancy Outcome among Lebanese Women during COVID-19 Confinement,"C Haddad, SB Malhab, H Sacre, D Malaeb, J Azzi, D Khachman, ...",,2020,3
Psychometric Properties of the 37-item Functional Assessment of Cancer Therapy-Cognitive Function (FACT-Cog) scale in Cancer Patients.,"A Hajj, P Salameh, R Khoury, R Hachem, H Sacre, G Chahine, J Kattan, ...",,2020,3
Postpartum Depression and Anxiety among Lebanese women: correlates and scales validation,"E Hobeika, M Outayek, D Malaeb, E Hobeika, P Salameh, N Kheir, ...",,2020,3
Development of a risk of stroke score in the Lebanese population,"M El-Hajj, P Salameh, S Rachidi, A Al-Hajje, H Hosseini","Clinical Epidemiology and Global Health 7 (1), 88-97",2019,3
Breastfeed for a Healthier Lebanon study group Determinants of Exclusive and Mixed Breastfeeding Durations and Risk of Recurrent Illnesses in Toddlers Attending Day Care …,"L Mattar, M Hobeika, RK Zeidan, P Salameh, C Issa","J. Pediatric Nurs 45, e24-e34",2019,3
Impact of the interaction between alexithymia and the adult attachment styles in participants with alcohol use disorder. Alcohol,"M Zakhour, C Haddad, P Salameh, M Akel, K Fares, H Sacre, S Hallit, ...",,2019,3
Comparison of Adhesion of a Novel Pre-sintered Cobalt-Chromium to Pre-sintered Zirconia and Cast Nickel-Chromium,"EE Daou, M Özcan, P Salameh, N Al-Haj Husain, Z Salameh","Journal of Contemporary Dental Practice 19 (7), 816-823",2018,3
"Hyperglycemia in hospitalized diabetic non-critically ill patients: Prevalence, correlates, management and nurses’ attitudes","G El Khoury, H Mansour, W Kabbara, N Chamoun, N Attalah, P Salameh","Curr Diabetes Rev 15 (2), 133-140",2018,3
Forecasting the future of pharmacy in Lebanon: The Magic of Numbers,R Zeenny,The Lebanese Order of Pharmacists Pharmacy Day 2016 conference presentation,2016,3
Recours aux soins et couverture médicale au Liban,C Saliba Sfeir,L'Harmattan,2016,3
Factores que afectan a la adherencia a la medicación en pacientes libaneses con enfermedades crónicas,"A Al-Hajje, S Awada, S Rachidi, S Zein, W Bawab, Z El-Hajj, M Bou Zeid, ...","Pharmacy Practice (Granada) 13 (3), 0-0",2015,3
Evaluation of aspirin use for primary and secondary prevention of cardiovascular diseases among Lebanese population,"F Drouby, P Salameh, M Cherfan, N Saleh","Journal of Pharmacy and Pharmacology 3 (2), 569-590",2015,3
Factors affecting medication adherence in lebanese patients with chronic diseases,"ALH Amal, S AWADA, S RACHIDI, Z Salam, W BAWAB, ELH Zeinab, ...","Pharmacy Practice 13 (3), 1-9",2015,3
Gastro-esophageal reflux disease in Lebanese adults: effects on quality of life and correlates,"S Awada, S Rachidi, A Al-Hajje, RK Zeidan, N Bou Kansour, C Abboud, ...","Pharmacologia 5 (9), 339-350",2014,3
Diagnostic score for COPD: validation of the DS-COPD in clinical settings,"P Salameh, G Khayat, M Waked","Clinical Epidemiology and Global Health 1 (3), 107-114",2013,3
"All Hajje, A.; Bawab, W.; Saleh, N.; Salameh, P. Prevalence of Malnutrition and Its Correlates in Older Adults Living in Long Stay Institutions Situated in Beirut, Lebanon","M El Zoghbi, C Boulos, S Awada, S Rachidi","J. Res. Health Sci 14, 11-17",2013,3
Primary health care policy and vision for community pharmacy and pharmacists in Lebanon. Pharm Pract (Granada). 2020; 18 (2): 2003,"S Hallit, CA Selwan, P Salameh",,2003,3
"& Salameh, P.(2022). Assessment of knowledge, attitude, and practice regarding the disposal of expired and unused medications among the Lebanese population","A Hajj, S Domiati, C Haddad, H Sacre, M Akl, M Akel","Journal of Pharmaceutical Policy and Practice 15 (1), 1-16",,3
Good pharmacy practice assessment among community pharmacies in Lebanon. Pharm Pract (Granada). 2020; 18 (1): 1745,"DA Badro, H Sacre, S Hallit, A Amhaz, P Salameh",,,3
Good Pharmacy Practice Standardized for Community Pharmacists: The Lebanese Order of Pharmacists Initiative. J Res Pharm Pract. 2019; 8 (1): 29-32,"S Hallit, H Sacre, H Sarkis, N Dalloul, CA Jaoude, Z Nahhas, J Dagher, ...",JRPP_18_96,,3
Antibiotic Resistance in Lebanon. 2017,"P Salameh, H Sacre, S Hallit, A Hajj",,,3
Attitudes of Lebanese pharmacists towards online and live continuing education sessions. Pharm Pract (Granada). 2019; 17 (2): 1438,"H Sacre, S Tawil, S Hallit, A Hajj, G Sili, P Salameh",,,3
Water-pipe [narguile] smokers in Lebanon: a pilot study [Internet]. 2009 [cited 2017 Feb 6],"M Waked, P Salameh, Z Aoun",,,3
Beyond Seizures: Psychiatric comorbidities in children with epilepsy,"D Ayoub, A Al-Hajje, P Salameh, J Jost, G Hmaimess, F Jaafar, T Halabi, ...","Epilepsy & Behavior 163, 110234",2025,2
Risk factors for false positive and false negative MRI in diagnosing medial and lateral meniscal tears with concomitant ACL injury,"S Chahwan, C Charbel, E Tannoury, A El Alam, J Otayek, J Ghanimeh, ...","Skeletal Radiology 54 (2), 303-315",2025,2
The prevalence of body dysmorphic disorder in outpatient dermatology clinics: a systematic review,"N Saade, C Chedraoui, MT Mitri, P Salameh, Y Said, J El Khoury","Clinical and Experimental Dermatology 49 (11), 1309-1315",2024,2
Adherence to the Mediterranean Diet and Cardiovascular Risk Factors among the Lebanese Population: A Nationwide Cross-Sectional Post Hoc Study,"RM Zeenny, C Haddad, A Hajj, RK Zeidan, P Salameh, J Ferrières","Nutrients 16 (15), 2426",2024,2
Endoscopic versus open carpal tunnel release: an umbrella review and a meta-analysis,"J El Masri, H Chanbour, M Ghazi, D El Masri, P Salameh, JB Hill, ...","Annals of Plastic Surgery 92 (6), 677-687",2024,2
Temperature and hospital admissions in the Eastern Mediterranean: a case study in Cyprus,"Y Wang, S Achilleos, P Salameh, P Kouis, PK Yiallouros, E Critselis, ...","Environmental Research: Health 2 (2), 025004",2024,2
Fall risk factors among poly-medicated older Lebanese patients in primary care settings: a secondary cross-sectional analysis of the “MGPIDP-L project”,"SE Khatib, CB Malham, S Andrieu, M Strumia, P Cestac, P Salameh","BMC geriatrics 24 (1), 327",2024,2
Arab world’s impact on bladder cancer research and opportunities for growth: A bibliometric review study,"M Saleh, P Raffoul, A Akil, P Bassil, P Salameh","Medicine 103 (12), e37554",2024,2
"Pharmacy education, practice, and research in Lebanon","A Hajj, H Sacre, P Salameh",Handbook of Medical and Health Sciences in Developing Countries: Education …,2024,2
Association of behaviors and asthma control in a sample of Lebanese adolescents with asthma,"V Azzi, D Malaeb, S El Khatib, F Sakr, M Dabbous, S Hallit, M Soufia","Allergologia et Immunopathologia 52 (2), 51-59",2024,2
Examining self-reported aberrant behavior among Lebanese drivers using the Driver Behavior Questionnaire (DBQ),"D Youssef, P Salameh, L Abou-Abbas, LR Salmi","Discover Social Science and Health 3 (1), 25",2023,2
Neurological soft signs and cognition among inpatients with schizophrenia,"R Fares, C Haddad, H Sacre, S Hallit, G Haddad, P Salameh, B Calvet","Cognitive Neuropsychiatry 28 (6), 406-423",2023,2
Opioid use disorder in two samples of the Lebanese population: scale validation and correlation with sleep and mood disorders,"K Chamoun, J Mouawad, P Salameh, H Sacre, R Haddad, LR Khabbaz, ...","BMC psychiatry 23 (1), 797",2023,2
"Assessment of sleep among Lebanese university medical trainees during clinical years and association with shifts, psychological stress, and fatigue","S Chahine, J Kassem, S Wanna, E Almawy, H Matar, P Salameh","The Primary Care Companion for CNS Disorders 25 (5), 48938",2023,2
"Caring for a Mentally Ill Patient at Home, Mental Health, Religiosity, and Spirituality and Their Association With Family Caregivers' Quality of Life in Lebanon","S Semaan, C Haddad, E Awad, H Sacre, R Hallit, M Akel, P Salameh, ...","The primary care companion for CNS disorders 25 (4), 22m03333",2023,2
Evaluation of patient safety culture in community pharmacies,"L Radwan, P Salameh","Exploratory Research in Clinical and Social Pharmacy 10, 100260",2023,2
The MGPIDP-L project: potentially inappropriate drug prescribing and its associated factors,"CB Malham, S El Khatib, M Strumia, S Andrieu, P Cestac, P Salameh","Archives of Gerontology and Geriatrics 109, 104947",2023,2
Perception of the Lebanese adults about vaccination: a survey,"R Sakr, M Helou, C Hamieh, M Estephan, R Chrabieh, P Salameh, ...","Vaccines 11 (3), 621",2023,2
"Quality of life, Knowledge and Access to Treatment in Times of Economic crisis in Lebanon","G Ismail, M Issa, T El-Hajj, H Tfaily, M Dassouki, E Assaf, H Abboud, ...","Multiple Sclerosis and Related Disorders 71, 104328",2023,2
Clinical and laboratory factors associated with mortality among hospitalized patients with COVID-19 infection in Lebanon: A multicenter study,"M Chebli, A Shebly, G Kerbage, CJ El Zouki, E Hayek, P Salameh, ...","Plos one 17 (12), e0278393",2022,2
Principal Road Safety Actors in Lebanon,Z Akl,"Youssef, Pascale Salameh, Linda Abou-Abbas et al 29",2022,2
Examining self-reported aberrant behavior among Lebanese drivers using the Driver Behavior Questionnaire (DBQ),"D Youssef, P Salameh, L Abou-Abbas, LR Salmi",,2022,2
"Association between mental illness and cycle phases and physical, social, and task attraction in female university students","L Youssef, P Salameh, M Dagher, M Akel, S Hallit, S Obeid","Perspectives in Psychiatric Care 58 (3), 986-993",2022,2
Knowledge and response to stroke among Lebanese adults: a Population-based survey. Front Public Health. 2022; 10,"S Saade, S Hallit, P Salameh, H Hosseini",,2022,2
Factors Contributing to the Improvement of University Students’ Academic Performance and Knowledge Retention in an Online Learning Environment,"J Karam, SA Ibrahim, L Mahmoud, N Zeidan, P Salameh, NH Alami","Int. J. Educ. Res 10 (9), 93-106",2022,2
Lack of Correlation Between the Penetration of Two Types of Sealers and Interfacial Adaptation to Root Dentine,"R El Hachem, N El Osta, H Sacre, P Salameh, E Wassef, G Le Brun, ...","European Endodontic Journal 7 (2), 150",2022,2
Cross-cultural Adaptation and Validation of the Lebanese Arabic version of the BACS scale (the Brief Assessment of Cognition in Schizophrenia) among stable schizophrenic inpatients,"C El Haddad, P Salameh, S Hallit, S Obeid, G Haddad, JP Clément, ...","European Psychiatry 64 (S1), S526-S527",2021,2
Health Outcomes based on Gender and Domestic Violence in a context of the COVID-19 Pandemic and a Collapsing Economy,"H Sacre, A Hajj, DA Badro, C Abou Selwan, R Aoun, P Salameh",Submitted article,2021,2
"Factors associated with knowledge, attitudes, and practices of the general Lebanese population toward the coronavirus disease 2019","C Haddad, S Bou Malhab, D Malaeb, H Sacre, D Saadeh, C Bou Tayeh, ...","International Journal of Population Studies 7 (2), 93-107",2021,2
The emergency to tackle tobacco smoking by Lebanese adolescents,"M Akel, P Salameh, V Ehlinger, E Godeau","European Journal of Public Health 30 (Supplement_5), ckaa165. 1160",2020,2
Current Challenges and Perspectives of Pharmacy In Middle Eastern Countries,"H Sacre, S Hallit, A Hajj, P Salameh",Pharmacists: Current Challenges and Perspectives. New York: Nova Science …,2020,2
"Drivers of antibiotic resistance transmission in low-and middle-income countries from a “one health”. Perspective—A Review. Antibiotics 9 (7), Article 7","K Iskandar, L Molinier, S Hallit, M Sartelli, F Catena, F Coccolini, ...",,2020,2
Validation of the Hamilton Anxiety Rating Scale and State Trait Anxiety Inventory A and B in Arabic among the Lebanese population. Clinical epi‑demiology and global health …,"S Hallit, C Haddad, R Hallit, N Kheir, CAE Hallit, P Salameh",,2020,2
"Incorporating HPS Model into Lebanese public schools: Comparison of adolescents’ smoking, alcohol and drug use behavior in HPS versus other public and private schools in Lebanon","S El Halabi, P Salameh","Open Journal of Nursing 9 (4), 418-448",2019,2
Self-reported attitudes about medication in Lebanese people with epilepsy. Epilepsy Behav,"L Mroueh, F Boumediene, J Jost, V Ratsimbazafy, PM Preux, P Salameh, ...",,2019,2
Health and living conditions of Lebanese elderly living in rural areas distribution by governorates based on the AMEL study.,"S Hallit, P Salameh, C Boulos",,2018,2
Thrombophilic Genetic Anomalies and Their Association With Dialysis Initiation Age in a Cohort of Lebanese Hemodialysis Patients,"A Barbari, A Milane, P Salameh, J Abi Younis, A El Houjairy, K Safi, ...","Experimental and Clinical Transplantation 6 (63), 650",2018,2
Correlates of drug resistance comparison between hospital-acquired and community-acquired infections: A multicentre study in Lebanon,"R Matta, S Hallit, R Hallit, AM Rogues, P Salameh","Revue d'Épidémiologie et de Santé Publique 66, S398-S399",2018,2
Assessing continuing education practices and preferences amongst Lebanese hospital pharmacists,"K Iskandar, EB Raad, S Hallit, N Chamoun, U Usta, Y Akiki, LR Karaoui, ...","Pharmacy Practice 16 (2), 1159-1159",2018,2
Development of an asthma risk factors scale (ARFS) for risk assessment asthma screening in children. Pediatr Neonatol,"S Hallit, C Raherison, D Malaeb, R Hallit, M Waked, N Kheir, P Salameh",,2018,2
Community Usage Pattern of Antibiotics within Lebanese Population: A Prospective Study,"M Khalifeh, N Moore, P Salameh","American Journal of Pharmacological Sciences 5 (2), 49-56",2017,2
Impact of Education and Other Potential Covariates on Nutritional Status in Lebanese Rural Elderly Women,"C Boulos, N Yaghi, P Salameh","Department of Nutrition, Saint Joseph University, Lebanon 2",2017,2
Analysis of cost and content of 1326 medical prescriptions from the area of Mount Lebanon,"G Choueiry, S Hallit, P Salameh","Res Rev 6 (3), 10-17",2017,2
IJBCP International journal of basic and clinical pharmacology,"MM Khalifeh, ND Moore, PR Salameh","International Journal of Basic and Clinical Pharmacology 5 (6), 1",2016,2
Development and initial validation of a brief scale for assessing psychological distress in obese adults,"L Abou Abbas, P Salameh, Z Mansour, Z Nasser, E Elias, I Godin","Clinical Epidemiology and Global Health 4 (1), 16-22",2016,2
Self-medications with potential abuse in the Middle East: a systematic literature review,"MM Khalifeh, ND Moore, PR Salameh","International Journal of Basic & Clinical Pharmacology 5, 2298-2307",2016,2
Lebanese Society of Infectious Diseases Study Group (L) SID study group). Surveillance of antimicrobial resistance in Lebanese hospitals: retrospective nationwide compiled data,"K Chamoun, M Farah, G Araj, Z Daoud, R Moghnieh, P Salameh, ...",International journal of infectious diseases: IJID: official publication of …,2016,2
"Evaluation of antibiotic prescription in the Lebanese community: a pilot study. Infection ecology & epidemiology, 5: 27094","N Saleh, S Awada, R Awwad, S Jibai, C Arfoul, L Zaiter, W Dib, ...",,2015,2
"Influenza vaccination: a cross-sectional survey of knowledge, attitude and practices among the Lebanese adult population","GE Khoury, P Salameh","IJERPH 12 (12), 1-12",2015,2
"Lev&# xea, et al. Outdoor Air Pollution and Cardiovascular Diseases in Lebanon: A Case-Control Study, Outdoor Air Pollution and Cardiovascular Diseases in Lebanon: A Case …","Z Nasser, P Salameh, H Dakik, E Elias, L Abou Abbas","Journal of Environmental and Public Health, Journal of Environmental and …",2015,2
Lower extremity venous thrombosis in the elderly patient,"R Kreidy, E Stephan, P Salameh, M Waked","International Angiology 32 (supplement 1), 53",2013,2
Could symptoms and risk factors diagnose COPD? the Diagnosis Score of COPD [DSCOPD] development,"P Salameh, G Khayat, M Waked","Clin Epidemiol 4, 247e255",2012,2
Psychological distress in Lebanese young adults: Construction and validation of the BDS-22 scale,"P Salameh, B Barbour","International Journal of Culture and Mental health 5, 94-108",2011,2
Congé maternel et mères travailleuses au Liban: circonstances professionnelles,"N Saadé, P Salameh, B Barbour","Sciences sociales et santé 28 (2), 115-128",2010,2
OBESITY PREVALENCE AND ASSOCIATED BERA VIOUR IN LEBANESE CHILDREN: A PILOT STUDY ON 1268 STUDENTS,"P Salameh, B Barbour, R Abboucf",Journal d'Epidemiologie et de Sante Publique,2009,2
Water-pipe [narguile] smokers in Lebanon: a pilot study,"P Salameh, Z Aoun","Rev Santé Mediterranée Orientale 15 (2), 2-11",2009,2
"nassar AH, usta IM, Salameh P, Souaid M, Awwad J. Acceptance of preimplantation genetic diagnosis for beta-thalassemia in Lebanese women with previously affected children",C Farra,"Prenat Diagn 28 (9), 828-832",2008,2
Hookah smoking: Construction and validation of the Lebanon hookah dependence scale (LWDS‑11),"P Salameh, M Waked, Z Aoun","Nicotine Tob Res 10, 149-58",2008,2
